"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.122904166E-2,-3.125408395E-1,-3.088090003E-2,-1.523100275E-1,3.490469177E-1
2.120904166E-2,-5.261570958E-1,-2.917760611E-2,-4.419325956E-1,6.877478035E-1
3.115704167E-2,-4.799691354E-1,-2.681825459E-2,-3.115922749E-1,5.728693878E-1
4.113604166E-2,-3.387923527E-1,-1.572374761E-2,-1.492501795E-1,3.705443436E-1
5.108504166E-2,-1.704887286E-1,-9.400568604E-3,4.466688037E-3,1.708061140E-1
6.106404166E-2,-2.017209001E-2,1.422802985E-2,1.538823438E-1,1.558496897E-1
7.101304166E-2,6.142865494E-2,-8.589559793E-4,1.865665251E-1,1.964211947E-1
8.099204167E-2,6.449310757E-2,1.467651129E-2,5.133619627E-2,8.372673382E-2
9.094104166E-2,1.092245266E-2,2.716324031E-2,-5.541758934E-2,6.267575931E-2
1.009200417E-1,-4.961749859E-2,-6.973389387E-3,-1.123642073E-1,1.230294250E-1
1.108690417E-1,-5.624575607E-2,3.783148527E-4,-8.159029305E-2,9.909946578E-2
1.208480417E-1,-8.134938776E-3,-9.476582408E-3,-1.141206926E-1,1.148020702E-1
1.307970417E-1,3.771081336E-2,-3.360044003E-2,-1.634998623E-1,1.711236395E-1
1.407760417E-1,4.782591172E-2,7.990804911E-3,-1.152012763E-1,1.249900191E-1
1.507250417E-1,-1.793194860E-2,1.687214077E-2,-1.064590859E-1,1.092692129E-1
1.607040417E-1,-2.634263476E-1,-2.114937901E-2,-1.387187777E-1,2.984688194E-1
1.706530417E-1,-1.860942163E-1,1.698148370E-2,3.219114411E-1,3.722182210E-1
1.806320417E-1,-4.722956881E-2,1.343924046E-2,4.988984728E-1,5.013092175E-1
1.905810417E-1,5.640487343E-2,1.983024716E-2,4.221794951E-1,4.263921605E-1
2.005600417E-1,1.550393616E-1,2.719540000E-2,2.339377610E-1,2.819639506E-1
2.105090417E-1,2.938107459E-1,4.698705554E-2,1.171279065E-1,3.197678600E-1
2.204880417E-1,2.965302128E-1,3.333088338E-2,7.955712480E-3,2.985036152E-1
2.304370417E-1,1.589153346E-1,-1.183008671E-2,-6.807620823E-2,1.732870586E-1
2.404160417E-1,-7.584277242E-3,-1.694990873E-2,-7.411112865E-2,7.640209458E-2
2.503650417E-1,-9.891318105E-2,-8.604762554E-3,-1.115286310E-1,1.493201087E-1
2.603440417E-1,-1.094645548E-1,1.782231331E-3,-1.445993042E-1,1.813687511E-1
2.702930417E-1,-1.034845342E-1,6.220852733E-3,-1.600675468E-1,1.907075441E-1
2.802720417E-1,-8.061629310E-2,-1.718847513E-2,-1.260595010E-1,1.506168257E-1
2.902210417E-1,-8.138987973E-2,7.338255644E-4,-1.059480027E-1,1.336032571E-1
3.002000417E-1,-1.034454310E-1,-1.553722143E-2,-2.567512393E-2,1.077106050E-1
