"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.701025001E-2,-4.233764201E-1,7.074604690E-2,6.695589999E-2,4.344372093E-1
3.695925001E-2,-1.445987195E-2,8.092955768E-2,2.556754430E-2,8.609518294E-2
4.693825000E-2,2.272593454E-1,7.867545605E-2,-1.489999278E-1,2.829092009E-1
5.688725000E-2,3.069606954E-1,6.830132604E-2,-2.206283104E-1,3.841442321E-1
6.686625001E-2,3.396343517E-1,8.580262721E-2,-1.986252379E-1,4.026978630E-1
7.681525001E-2,2.553052229E-1,8.996993780E-2,-2.243594187E-1,3.515856870E-1
8.679425000E-2,4.222069770E-2,4.214146793E-2,-2.987354171E-1,3.046331237E-1
9.674325000E-2,-1.835993555E-1,3.266020775E-2,-3.961178702E-1,4.378182038E-1
1.067222500E-1,-3.202812374E-1,4.077029586E-2,-4.058739495E-1,5.186289145E-1
1.166702500E-1,-3.622917277E-1,4.183273494E-2,-3.453757328E-1,5.022844517E-1
1.266502500E-1,-1.917898428E-1,4.094571233E-2,-3.202104861E-1,3.754925439E-1
1.365982500E-1,3.592558533E-2,4.770626307E-2,-3.168816662E-1,3.224601147E-1
1.465782500E-1,2.494077212E-1,9.515524864E-2,-2.933565634E-1,3.966318268E-1
1.565262500E-1,4.323483878E-1,1.277680939E-1,-1.726782185E-1,4.827707338E-1
1.665062500E-1,4.680824769E-1,1.259794307E-1,-4.589596510E-2,4.869070360E-1
1.764542500E-1,4.027965599E-1,1.119016743E-1,-1.953203003E-2,4.185075311E-1
1.864342500E-1,2.417022604E-1,9.503187239E-2,4.760218263E-3,2.597570001E-1
1.963822500E-1,4.037575498E-1,2.321204281E-1,3.483700919E-1,5.816027623E-1
2.063622500E-1,2.218717209E-1,2.100752556E-1,4.241032290E-1,5.227066313E-1
2.163102500E-1,3.013304114E-2,1.404407644E-1,3.993671679E-1,4.244122328E-1
2.262902500E-1,-9.814609945E-2,7.306212902E-2,3.089282835E-1,3.322761139E-1
2.362382500E-1,-2.136984828E-1,3.679185033E-2,2.854002571E-1,3.584326835E-1
2.462182500E-1,-2.393218589E-1,-3.685500026E-3,2.615552934E-1,3.545415442E-1
2.561662500E-1,-5.376485556E-2,-2.572774887E-3,1.991315885E-1,2.062781336E-1
2.661462500E-1,1.860431993E-1,1.729080141E-2,1.388982689E-1,2.328170375E-1
2.760942500E-1,3.619900113E-1,1.818484068E-2,8.159438610E-2,3.715172951E-1
2.860742500E-1,4.299407968E-1,2.017289400E-4,3.001843572E-2,4.309875125E-1
2.960222500E-1,3.331226000E-1,1.197509766E-2,-2.977519155E-2,3.346649543E-1
3.060022500E-1,1.609282386E-1,2.432324767E-2,-6.916612923E-2,1.768430711E-1
3.159502500E-1,1.955308914E-2,3.013538003E-2,-7.114131868E-2,7.969662256E-2
3.259302500E-1,-3.528502285E-2,3.432900310E-2,-8.023081541E-2,9.413021318E-2
3.358782500E-1,-6.965583354E-2,8.148095012E-3,-9.598672271E-2,1.188771531E-1
3.458572500E-1,-5.882357419E-2,-4.867807031E-3,-6.746868253E-2,8.964335752E-2
3.558062500E-1,-9.462753743E-2,2.219603062E-3,1.631490568E-2,9.604932912E-2
3.657852500E-1,-3.196263492E-2,2.831689596E-2,7.354335487E-2,8.504164670E-2
3.757342500E-1,-2.727492213E-2,-1.156696200E-2,-5.948723316E-2,6.645635332E-2
3.857132500E-1,-7.276275158E-3,-6.250498116E-2,-2.832204151E-1,2.901269039E-1
3.956622500E-1,2.987234303E-1,-4.078491390E-2,-3.512773275E-1,4.629199260E-1
4.056412500E-1,9.903294665E-1,6.161035717E-2,-4.208463299E-1,1.077803285E0
4.155902500E-1,1.920946874E0,3.157554924E-2,-7.692281163E-1,2.069479597E0
4.255692500E-1,2.658470510E0,4.294487536E-2,-9.871737242E-1,2.836163197E0
4.355182500E-1,3.448680775E0,7.622254908E-2,-1.282234751E0,3.680127025E0
4.454972500E-1,4.271582238E0,1.496472055E-1,-1.722512548E0,4.608238121E0
4.554462500E-1,4.483431247E0,4.242336220E-1,-1.723504236E0,4.821990954E0
4.654252500E-1,4.379932314E0,3.865021241E-1,-9.008840239E-1,4.488293995E0
4.753742500E-1,4.098520442E0,4.546835822E-1,3.426105845E-1,4.137872520E0
4.853532500E-1,3.881156632E0,5.080148667E-1,8.229535031E-1,3.999838544E0
4.953022500E-1,3.600680900E0,6.179542154E-1,1.129144120E0,3.823837968E0
5.052812500E-1,3.340394727E0,7.242063099E-1,1.061716368E0,3.579099517E0
5.152302500E-1,3.096936547E0,7.117926711E-1,6.517634010E-1,3.243834200E0
5.252092500E-1,2.867512563E0,9.134572917E-1,7.412047505E-1,3.099422044E0
5.351582500E-1,2.653487221E0,9.529721904E-1,7.255961931E-1,2.911295289E0
5.451372500E-1,2.455210769E0,1.010493005E0,9.950581098E-1,2.835365351E0
5.550862500E-1,2.250831286E0,1.190117131E0,1.713402586E0,3.068936084E0
5.650652500E-1,2.063609873E0,1.272274019E0,2.113901775E0,3.216480624E0
5.750142500E-1,1.867276159E0,1.456130944E0,2.143651239E0,3.194100533E0
5.849932500E-1,1.669198513E0,1.719938604E0,2.071525834E0,3.167906526E0
5.949422500E-1,1.489484047E0,1.419351373E0,1.464287810E0,2.525323710E0
6.049212500E-1,1.359711382E0,1.283888928E0,9.836946309E-1,2.113017025E0
6.148702500E-1,1.030943349E0,1.844346887E0,5.345980632E-1,2.179507908E0
6.248492500E-1,8.033058353E-1,1.771996365E0,5.802661696E-2,1.946442516E0
6.347982500E-1,6.304796091E-1,1.640505348E0,-1.255209907E-1,1.761964204E0
6.447772500E-1,2.949543151E-1,1.970689430E0,1.433784056E-1,1.997791842E0
6.547262500E-1,4.452274650E-2,1.905625123E0,2.588807952E-1,1.923644627E0
6.647052500E-1,-1.880789074E-1,1.944126699E0,5.461989391E-1,2.028135986E0
6.746542500E-1,-4.045551100E-1,2.049274254E0,7.589995819E-1,2.222446889E0
6.846332500E-1,-6.506150079E-1,1.954520710E0,5.385314852E-1,2.129194038E0
6.945822500E-1,-9.089146630E-1,2.025294238E0,3.088750738E-1,2.241282318E0
7.045612500E-1,-1.164143507E0,1.940917162E0,-3.236971807E-1,2.286300374E0
7.145102500E-1,-1.412899556E0,1.928718116E0,-8.496279162E-1,2.537342374E0
7.244892500E-1,-1.636240682E0,1.841897489E0,-1.218267966E0,2.748462618E0
7.344382500E-1,-1.876862523E0,1.726643021E0,-1.366649249E0,2.893378513E0
7.444172500E-1,-2.104771201E0,1.678463134E0,-1.180064598E0,2.939362645E0
7.543662500E-1,-2.320824358E0,1.552126438E0,-1.016443716E0,2.971275822E0
7.643452500E-1,-2.538032486E0,1.521670046E0,-7.217253363E-1,3.045977034E0
7.742926250E-1,-2.751083682E0,1.374623097E0,-6.714971691E-1,3.147849827E0
7.842716250E-1,-2.967373066E0,1.257611541E0,-7.516630805E-1,3.309363547E0
7.942206250E-1,-3.180668383E0,1.134209563E0,-9.746250147E-1,3.514680158E0
8.041996250E-1,-3.377274870E0,9.761727726E-1,-1.203506670E0,3.715821192E0
8.141486250E-1,-3.549433563E0,8.791078234E-1,-1.190550994E0,3.845610596E0
8.241276250E-1,-3.716116339E0,7.264832157E-1,-1.070538062E0,3.934888849E0
8.340766250E-1,-3.872317981E0,6.073228079E-1,-6.623117781E-1,3.975216275E0
8.440556250E-1,-3.997956519E0,4.560500765E-1,-2.548514789E-1,4.031945843E0
8.540046250E-1,-4.120357161E0,4.033245635E-1,1.367693708E-1,4.142308499E0
8.639836250E-1,-4.224958002E0,5.617075092E-1,3.777348089E-1,4.278839683E0
8.739326250E-1,-4.296416532E0,1.493267781E-1,4.153277278E-2,4.299211379E0
8.839116250E-1,-4.401961114E0,-2.672236025E-1,-5.744936156E-1,4.447326502E0
8.938606250E-1,-4.439268104E0,8.716444373E-2,-4.371759222E-1,4.461594079E0
9.038396250E-1,-4.452359143E0,3.755023420E-2,-4.609277507E-1,4.476311690E0
9.137886250E-1,-4.493867065E0,-4.015610433E-1,-6.799469805E-1,4.562720719E0
9.237676250E-1,-4.498122668E0,-1.546033055E-1,-3.676039596E-1,4.515765981E0
9.337166250E-1,-4.477310674E0,-1.678642058E-1,-1.160777557E-1,4.481959762E0
9.436956250E-1,-4.460027474E0,-3.125442016E-1,-5.460480809E-2,4.471298539E0
9.536446250E-1,-4.417905594E0,-2.072411102E-1,7.352932155E-2,4.423374874E0
9.636236250E-1,-4.381239166E0,-2.499398178E-1,-1.495067992E-1,4.390908656E0
9.735726250E-1,-4.329757356E0,-1.852818918E-1,-3.299314090E-1,4.346260792E0
9.835516250E-1,-4.248437789E0,-1.478655589E-1,-5.798203560E-1,4.290370557E0
9.935006250E-1,-4.155446010E0,-1.387474108E-1,-7.799443084E-1,4.230283148E0
1.003479625E0,-4.047272521E0,-4.682216406E-2,-7.468233401E-1,4.115865920E0
1.013428625E0,-3.930223835E0,3.656907141E-2,-6.662679311E-1,3.986465809E0
1.023407625E0,-3.794605269E0,1.843346429E-1,-4.606407620E-1,3.826904535E0
1.033355625E0,-3.628965344E0,2.590217131E-1,-3.864788083E-1,3.658667460E0
1.043335625E0,-3.458297398E0,3.430251521E-1,-4.093092253E-1,3.499288670E0
1.053283625E0,-3.290547213E0,4.690145230E-1,-5.461054567E-1,3.368368560E0
1.063263625E0,-3.108803764E0,5.970521736E-1,-7.995944613E-1,3.265039578E0
1.073211625E0,-2.912142606E0,7.470344245E-1,-9.920222354E-1,3.165871618E0
1.083191625E0,-2.697495120E0,8.171431249E-1,-1.142744744E0,3.041392503E0
1.093139625E0,-2.491814632E0,9.630621457E-1,-1.086164746E0,2.883813917E0
1.103119625E0,-2.256820882E0,1.104022143E0,-9.004852438E-1,2.668890979E0
1.113067625E0,-2.026725491E0,1.250041736E0,-6.264987516E-1,2.462259377E0
1.123047625E0,-1.791045278E0,1.388490939E0,-3.751263660E-1,2.297056826E0
1.132995625E0,-1.552690548E0,1.471472284E0,-2.450164805E-1,2.153163184E0
1.142975625E0,-1.307330708E0,1.600004025E0,-1.618357265E-1,2.072514719E0
1.152923625E0,-1.067983706E0,1.698109778E0,-2.237647569E-1,2.018473850E0
1.162903625E0,-8.177801791E-1,1.763476971E0,-2.320672184E-1,1.957669697E0
1.172851625E0,-5.619592318E-1,1.829332407E0,-1.822781771E-1,1.922363277E0
1.182831625E0,-2.923435333E-1,1.924146763E0,-7.998993297E-3,1.946244972E0
1.192779625E0,-1.997229796E-2,2.000693833E0,2.877718878E-1,2.021382538E0
1.202759625E0,2.524272233E-1,2.002920452E0,5.192690027E-1,2.084478385E0
1.212707625E0,5.306000295E-1,2.022116277E0,7.317252445E-1,2.214929448E0
1.222687625E0,8.007811537E-1,2.017041478E0,7.786889112E-1,2.305658952E0
1.232635625E0,1.068107813E0,2.033612487E0,6.752095664E-1,2.394230985E0
1.242615625E0,1.337962371E0,1.986588010E0,4.560325348E-1,2.438163427E0
1.252563625E0,1.596783524E0,1.911934853E0,2.144267718E-1,2.500238258E0
1.262543625E0,1.860077067E0,1.866343528E0,9.176623899E-2,2.636578446E0
1.272491625E0,2.112993556E0,1.812121128E0,4.730165401E-2,2.784019073E0
1.282470625E0,2.356934277E0,1.737592517E0,1.111111307E-1,2.930309305E0
1.292419625E0,2.599612437E0,1.632450224E0,1.750527728E-1,3.074658035E0
1.302398625E0,2.829505661E0,1.552428739E0,2.412701511E-1,3.236409826E0
1.312347625E0,3.031840957E0,1.458138878E0,2.485932771E-1,3.373429590E0
1.322326625E0,3.223372646E0,1.331367735E0,1.091043298E-1,3.489208365E0
1.332275625E0,3.404165045E0,1.209066787E0,-5.743372757E-2,3.612960114E0
1.342254625E0,3.553109708E0,1.107108303E0,-1.717069960E-1,3.725555084E0
1.352203625E0,3.696567928E0,1.009563882E0,-1.893480090E-1,3.836624343E0
1.362182625E0,3.832742564E0,8.803918719E-1,-9.248661596E-2,3.933644517E0
1.372131625E0,3.941449027E0,7.839280164E-1,1.100421866E-1,4.020158312E0
1.382110625E0,4.026606414E0,7.107296473E-1,3.808513749E-1,4.106548869E0
1.392059625E0,4.104695394E0,6.223156536E-1,6.227366531E-1,4.198047402E0
