"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.982533333E-2,4.669764760E-1,1.516346741E-1,-3.651948702E-1,6.119047285E-1
3.980433333E-2,5.060665745E-1,1.308431447E-1,-2.055635440E-1,5.616757756E-1
4.975333333E-2,4.105680943E-1,1.088769096E-1,-9.324320912E-2,4.348731281E-1
5.973233333E-2,2.423796603E-1,8.720128119E-2,-3.139837861E-2,2.594953205E-1
6.968133333E-2,1.440365097E-1,7.815563858E-2,6.396152258E-2,1.759144574E-1
7.966033333E-2,7.042678893E-2,6.181676388E-2,9.094993114E-2,1.305876521E-1
8.960933333E-2,1.994017482E-2,5.580874979E-2,1.463815355E-1,1.579233392E-1
9.958833332E-2,-4.199148685E-2,5.586079001E-2,1.949403592E-1,2.070880404E-1
1.095373333E-1,-1.285375875E-1,3.892783821E-2,2.901598907E-1,3.197343431E-1
1.195163333E-1,-1.216875744E-1,3.439215302E-2,2.636170216E-1,2.923775300E-1
1.294653333E-1,-1.432503515E-1,1.055247009E-2,1.189335358E-1,1.864864708E-1
1.394443333E-1,-5.820143044E-2,-4.987674952E-4,-8.009516001E-3,5.875208610E-2
1.493933333E-1,2.428407133E-2,1.035658836E-2,-9.254739046E-2,9.623925667E-2
1.593723333E-1,3.840919018E-2,1.162426472E-2,-3.506809115E-2,5.329315563E-2
1.693213333E-1,1.110181600E-1,3.245146215E-2,-2.462625039E-1,2.720723250E-1
1.793003333E-1,1.034971789E-1,3.595569849E-2,-2.978688598E-1,3.173804277E-1
1.892493333E-1,7.985162348E-2,5.118652582E-2,-1.770800024E-1,2.008822278E-1
1.992283333E-1,3.558732390E-2,5.895455182E-2,-1.076975262E-1,1.278313497E-1
2.091773333E-1,5.089416504E-2,6.319963038E-2,-5.500943542E-2,9.803288887E-2
2.191563333E-1,5.569736034E-2,5.429490566E-2,-4.429148912E-2,8.950904277E-2
2.291053333E-1,7.960633278E-2,6.534848213E-2,-4.937506755E-2,1.142168535E-1
2.390843333E-1,1.664412859E-1,4.629240632E-2,-7.072558165E-2,1.866756450E-1
2.490333333E-1,1.238256088E-1,3.576800287E-2,-8.305268168E-2,1.533293167E-1
2.590123333E-1,3.199304044E-2,3.640944242E-2,2.460391402E-2,5.435581588E-2
2.689613333E-1,-3.903922766E-2,2.841395974E-2,6.429130554E-2,8.040389526E-2
2.789403333E-1,-4.969022334E-2,2.826602519E-2,4.680579185E-2,7.388415680E-2
2.888893333E-1,-3.993677527E-2,3.074816823E-2,8.109152555E-2,9.547895781E-2
2.988683333E-1,-1.808631510E-2,1.655814528E-2,1.340509272E-1,1.362752290E-1
3.088173333E-1,2.902674794E-2,2.936062396E-2,4.959843119E-2,6.453373313E-2
3.187963333E-1,1.206163645E-2,3.556919754E-2,-1.063257694E-2,3.903463308E-2
3.287453333E-1,-4.412893653E-2,2.007056773E-2,-5.473343770E-2,7.311593486E-2
3.387243333E-1,-1.144291332E-1,4.801148772E-3,-4.469846447E-2,1.229431994E-1
3.486733333E-1,-7.048029095E-2,9.779468179E-3,-2.311873038E-2,7.481701080E-2
3.586523333E-1,4.303960025E-2,2.375255942E-2,-2.022903641E-2,5.315830305E-2
3.686013333E-1,6.962776691E-2,3.871558428E-2,1.547056317E-2,8.115578054E-2
3.785803333E-1,8.960360974E-2,2.760353565E-2,9.490040140E-3,9.423811819E-2
3.885293333E-1,8.749598086E-2,1.907244802E-2,-2.175046365E-2,9.215415134E-2
3.985083333E-1,9.460794926E-2,1.705281973E-2,-5.846747875E-2,1.125162601E-1
4.084573333E-1,2.078568220E-2,2.179432690E-2,-8.047405045E-2,8.592502584E-2
4.184363333E-1,1.506242752E-3,1.566293657E-2,-5.002644737E-2,5.244274770E-2
4.283853333E-1,-4.237126350E-2,1.351408482E-2,1.043844938E-1,1.134639899E-1
4.383643333E-1,-9.472109288E-2,1.859414577E-2,1.933767772E-1,2.161305292E-1
4.483133333E-1,-7.239671588E-2,1.850292921E-2,1.047657323E-1,1.286837267E-1
4.582923333E-1,1.202070594E-2,2.860457897E-2,2.521787167E-2,3.998325100E-2
4.682413333E-1,1.361211339E-1,3.081365705E-2,-1.166988214E-2,1.400522427E-1
4.782203333E-1,1.367681283E-1,1.899292588E-2,-4.474524220E-2,1.451495396E-1
4.881693333E-1,4.578720689E-2,1.821349204E-2,-1.785272797E-2,5.241106279E-2
4.981483333E-1,4.722299069E-2,2.214691401E-2,-1.474083066E-2,5.420137211E-2
5.080973333E-1,1.730001077E-1,2.076580167E-2,-9.488160809E-2,1.984005427E-1
5.180763333E-1,1.719902936E-1,1.489051938E-2,-1.830763221E-1,2.516333212E-1
5.280253333E-1,-2.358737558E-2,1.426135898E-2,-2.346359003E-1,2.362493520E-1
5.380043333E-1,6.927576452E-2,2.487171650E-2,-2.364415205E-1,2.476334518E-1
5.479533333E-1,3.143884134E-1,2.258662462E-2,-2.776538658E-1,4.200498772E-1
5.579323333E-1,5.477800262E-1,2.437762678E-2,-3.642628241E-1,6.582891696E-1
5.679113333E-1,7.821861309E-1,5.943577766E-2,-4.568488061E-1,9.077767273E-1
5.778603333E-1,9.259580541E-1,8.859116435E-2,-4.018159819E-1,1.013263438E0
5.878393333E-1,1.063301256E0,1.053223872E-1,-3.428491509E-1,1.122162157E0
5.977883333E-1,1.435225979E0,1.248345459E-1,-2.298365057E-1,1.458863288E0
6.077673333E-1,2.009738598E0,1.885610104E-1,1.084214115E-1,2.021474633E0
6.177163333E-1,2.333174116E0,2.739221728E-1,6.363045323E-1,2.433848448E0
6.276953333E-1,2.356725239E0,3.423416126E-1,1.005767870E0,2.585134550E0
6.376443333E-1,2.363201615E0,3.708274931E-1,1.141306329E0,2.650436764E0
6.476233333E-1,2.266690982E0,3.928902072E-1,1.206912088E0,2.597862104E0
6.575723333E-1,2.058480695E0,4.317671746E-1,1.134469764E0,2.389725363E0
6.675513333E-1,1.869885479E0,4.827309215E-1,9.532037401E-1,2.153624437E0
6.775003333E-1,1.692305832E0,5.101637185E-1,7.059425318E-1,1.903292123E0
6.874793333E-1,1.523009058E0,5.097854036E-1,4.272174561E-1,1.661912303E0
6.974283333E-1,1.381066436E0,5.280357331E-1,8.600552559E-2,1.481068259E0
7.074073333E-1,1.265263208E0,5.670968878E-1,-2.734625816E-1,1.413248615E0
7.173563333E-1,1.155803038E0,5.748035181E-1,-6.314104128E-1,1.436996471E0
7.273353333E-1,1.065361230E0,6.095219457E-1,-8.367845070E-1,1.485503236E0
7.372843333E-1,9.683249322E-1,6.485369074E-1,-7.972298473E-1,1.412030001E0
7.472633333E-1,8.944463857E-1,6.967875463E-1,-5.413153446E-1,1.256411367E0
7.572123333E-1,8.231999633E-1,7.692830801E-1,-1.291638243E-1,1.134080213E0
7.671913333E-1,7.348264615E-1,8.469300109E-1,2.950154185E-1,1.159437135E0
7.771403333E-1,6.507019852E-1,8.983860934E-1,6.038267577E-1,1.262979572E0
7.871193333E-1,5.601372394E-1,9.497462815E-1,7.479173541E-1,1.332348338E0
