"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.357861250E-1,-6.052334223E0,7.082919431E-1,-1.216407967E-1,6.094852214E0
6.457341250E-1,-6.212404675E0,4.890348047E-1,-8.325090230E-2,6.232179202E0
6.557131250E-1,-6.344070523E0,2.730737418E-1,-5.295255306E-1,6.371985355E0
6.656621250E-1,-6.477180634E0,5.086902201E-2,-1.209547502E0,6.589344563E0
6.756411250E-1,-6.549826441E0,-7.756214619E-2,-1.636122276E0,6.751528597E0
6.855901250E-1,-6.664918941E0,-1.416645867E-1,-1.635912361E0,6.864213181E0
6.955691250E-1,-6.488914241E0,-2.747483844E-1,-1.026469352E0,6.575342883E0
7.055181250E-1,-6.663321481E0,-5.348524171E-1,-9.167306361E-1,6.747319122E0
7.154971250E-1,-6.642832838E0,-3.541687757E-1,-3.588015977E-1,6.661936822E0
7.254461250E-1,-6.602368351E0,-3.902729934E-1,1.206531288E-1,6.614993426E0
7.354251250E-1,-6.545053943E0,-5.243905789E-1,2.082783332E-1,6.569329986E0
7.453741250E-1,-6.465578004E0,-3.288006306E-1,1.680354562E-1,6.476113394E0
7.553531250E-1,-6.396684939E0,-2.632872570E-1,-2.595918167E-1,6.407361883E0
7.653021250E-1,-6.286247993E0,-2.616424352E-1,-7.161874384E-1,6.332321457E0
7.752811250E-1,-6.117992608E0,3.013011754E-2,-7.740174975E-1,6.166834233E0
7.852301250E-1,-5.955748746E0,2.015511847E-1,-8.715666693E-1,6.022557136E0
7.952091250E-1,-5.794460903E0,3.260080004E-1,-9.416244990E-1,5.879516568E0
8.051581250E-1,-5.617300209E0,6.629906398E-1,-7.691655511E-1,5.708347736E0
8.151371250E-1,-5.424704036E0,8.710018283E-1,-5.949127140E-1,5.526298870E0
8.250886250E-1,-5.240271159E0,1.104709191E0,-3.890849489E-1,5.369563420E0
8.350676250E-1,-4.974522225E0,1.496142856E0,5.511523347E-2,5.194935274E0
8.450166250E-1,-4.712198004E0,1.731116141E0,1.921184198E-1,5.023791657E0
8.549956250E-1,-4.433383466E0,2.031289389E0,7.256570041E-2,4.877119162E0
8.649446250E-1,-4.144068498E0,2.343622506E0,-2.476763241E-1,4.767306758E0
8.749236250E-1,-3.833481652E0,2.593534257E0,-7.394628650E-1,4.687089379E0
8.848726250E-1,-3.497258858E0,2.927673395E0,-9.894477063E-1,4.667022369E0
8.948516250E-1,-3.149855019E0,3.201370450E0,-1.073692635E0,4.617702380E0
9.048006250E-1,-2.784013739E0,3.503041754E0,-8.372996467E-1,4.552263693E0
9.147796250E-1,-2.392167552E0,3.777808850E0,-4.434370111E-1,4.493433173E0
9.247286250E-1,-1.993779354E0,4.013624718E0,-4.540595016E-2,4.481785491E0
9.347076250E-1,-1.584197246E0,4.246987680E0,2.507987738E-1,4.539767097E0
9.446566250E-1,-1.181780025E0,4.393748115E0,2.174070793E-1,4.555095209E0
9.546356250E-1,-7.738108715E-1,4.570289004E0,3.138960779E-2,4.635440664E0
9.645846250E-1,-3.604071701E-1,4.662656885E0,-2.611003983E-1,4.683848415E0
9.745636250E-1,6.216467321E-2,4.766836726E0,-4.435042906E-1,4.787827574E0
9.845126250E-1,4.763879351E-1,4.825539263E0,-4.248680449E-1,4.867575115E0
9.944916250E-1,8.990496062E-1,4.804717913E0,-1.675192201E-1,4.890978134E0
1.004440625E0,1.380570008E0,4.829195527E0,2.103477359E-1,5.027061682E0
1.014419625E0,1.836667447E0,4.800805541E0,5.508334422E-1,5.169574318E0
1.024368625E0,2.272052001E0,4.725892768E0,8.091622603E-1,5.305754076E0
1.034347625E0,2.683923148E0,4.594276621E0,7.499556935E-1,5.373383913E0
1.044296625E0,3.083732657E0,4.449583177E0,5.569847496E-1,5.442281650E0
1.054275625E0,3.456475698E0,4.271841854E0,3.017022578E-1,5.503351827E0
1.064224625E0,3.813309635E0,4.072500917E0,7.711892724E-2,5.579654239E0
1.074203625E0,4.153479299E0,3.866977134E0,8.592249513E-2,5.675586765E0
1.084152625E0,4.477216241E0,3.622199823E0,2.380413552E-1,5.763892827E0
1.094131625E0,4.773277434E0,3.398065522E0,5.506884313E-1,5.885090017E0
1.104080625E0,5.059549511E0,3.167349595E0,8.455318686E-1,6.028770095E0
1.114059625E0,5.320113135E0,2.915163862E0,1.014752702E0,6.150732246E0
1.124008625E0,5.556642948E0,2.621151826E0,9.791255435E-1,6.221366777E0
1.133987625E0,5.766480222E0,2.349075619E0,7.710325670E-1,6.274148678E0
1.143966625E0,5.968281668E0,2.120065910E0,5.423970795E-1,6.356827835E0
1.153915625E0,6.144020904E0,1.857293208E0,3.443589020E-1,6.427838982E0
1.163894625E0,6.276211247E0,1.643282776E0,3.270078012E-1,6.496009544E0
1.173843625E0,6.418435997E0,1.427461461E0,4.542385360E-1,6.590925543E0
1.183822625E0,6.530243531E0,1.236428248E0,6.763731623E-1,6.680592492E0
1.193771625E0,6.612105135E0,1.076038538E0,9.171088048E-1,6.761573915E0
1.203750625E0,6.678307310E0,9.430056113E-1,1.078224301E0,6.830198808E0
1.213699625E0,6.715933558E0,8.321324623E-1,1.076320374E0,6.852348031E0
1.223678625E0,6.727053208E0,7.040644062E-1,9.473366439E-1,6.829816855E0
1.233627625E0,6.716791930E0,6.238277435E-1,7.626931950E-1,6.788678501E0
1.243606625E0,6.672787539E0,5.574343640E-1,6.064966694E-1,6.723441442E0
1.253555625E0,6.601008289E0,5.312382531E-1,5.695585656E-1,6.646797836E0
1.263534625E0,6.535018367E0,5.671120906E-1,6.544953664E-1,6.592150284E0
1.273483625E0,6.444933824E0,6.115292948E-1,8.095212793E-1,6.524298029E0
1.283462625E0,6.351642668E0,6.771028948E-1,9.528599969E-1,6.458310544E0
1.293411625E0,6.228129008E0,8.014784342E-1,1.006641444E0,6.359660810E0
1.303390625E0,6.094938206E0,9.551485240E-1,9.451929816E-1,6.241311578E0
1.313339625E0,5.927172233E0,1.107800614E0,7.381080651E-1,6.074816573E0
1.323318625E0,5.739842062E0,1.286364639E0,4.985768028E-1,5.903312605E0
1.333267625E0,5.538316020E0,1.490193899E0,3.077634450E-1,5.743547731E0
1.343246625E0,5.299843177E0,1.719274945E0,2.318912903E-1,5.576559657E0
1.353195625E0,5.041428990E0,1.956963091E0,2.979833921E-1,5.416133760E0
1.363174625E0,4.770977432E0,2.194885712E0,4.401550055E-1,5.270055538E0
1.373123625E0,4.468401856E0,2.460079746E0,6.246253037E-1,5.138945833E0
1.383102625E0,4.160483971E0,2.728893791E0,7.323135475E-1,5.029191916E0
1.393051625E0,3.831286315E0,2.998308345E0,7.109956956E-1,4.916718686E0
1.403030625E0,3.468094408E0,3.226919274E0,5.866184385E-1,4.773343484E0
1.412979625E0,3.095283540E0,3.500366653E0,4.060681136E-1,4.690227949E0
1.422958625E0,2.693801141E0,3.744138828E0,2.469384420E-1,4.619103673E0
1.432907625E0,2.288123658E0,3.946477048E0,1.582782805E-1,4.564563832E0
1.442886625E0,1.870540659E0,4.141976364E0,1.831406597E-1,4.548453700E0
1.452835625E0,1.444175581E0,4.315966113E0,2.941231334E-1,4.560670457E0
1.462814625E0,1.002534944E0,4.470067143E0,4.203984332E-1,4.600359923E0
1.472763625E0,5.293238747E-1,4.600313287E0,4.836828482E-1,4.655858159E0
1.482742625E0,1.970098715E-2,4.692772969E0,4.424447751E-1,4.713625319E0
1.492691625E0,-4.290733624E-1,4.759074547E0,2.788303256E-1,4.786506121E0
1.502670625E0,-8.752328736E-1,4.787040026E0,6.505670607E-2,4.866828245E0
1.512619625E0,-1.303843136E0,4.776596898E0,-1.351648217E-1,4.953196380E0
1.522598625E0,-1.721270161E0,4.720884043E0,-3.078260833E-1,5.034309686E0
1.532547625E0,-2.118226814E0,4.621387237E0,-3.788405174E-1,5.097805897E0
1.542526625E0,-2.510873046E0,4.502998077E0,-3.784680498E-1,5.169595071E0
1.552475625E0,-2.891501350E0,4.381425692E0,-3.513896306E-1,5.261287469E0
1.562454625E0,-3.254356749E0,4.236996542E0,-3.573537540E-1,5.354500841E0
1.572402625E0,-3.603909440E0,4.013132967E0,-4.384523328E-1,5.411620822E0
1.582382625E0,-3.938618098E0,3.781090892E0,-5.810103740E-1,5.490622361E0
1.592330625E0,-4.257412388E0,3.545058677E0,-7.599427378E-1,5.592004491E0
1.602310625E0,-4.563959393E0,3.265544227E0,-8.930201767E-1,5.682516122E0
1.612258625E0,-4.839214438E0,2.969750544E0,-9.863773334E-1,5.762842607E0
1.622238625E0,-5.094909378E0,2.691346480E0,-9.780498020E-1,5.844487049E0
1.632186625E0,-5.336332142E0,2.402646639E0,-8.753001165E-1,5.917372888E0
1.642166625E0,-5.552805421E0,2.101800962E0,-7.577425767E-1,5.985431408E0
1.652114625E0,-5.754047872E0,1.819006809E0,-6.409489757E-1,6.068662808E0
1.662094625E0,-5.944812698E0,1.536310304E0,-5.734979079E-1,6.166842565E0
1.672042625E0,-6.104796612E0,1.289430335E0,-6.097944991E-1,6.269212198E0
1.682022625E0,-6.252018392E0,1.048142642E0,-6.938792143E-1,6.377131435E0
1.691970625E0,-6.378391340E0,7.240823489E-1,-8.539156795E-1,6.475904827E0
1.701950625E0,-6.472934386E0,4.762065983E-1,-9.549012599E-1,6.560296388E0
1.711898625E0,-6.553391488E0,3.359798419E-1,-9.129726306E-1,6.625205014E0
