"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.152291659E-3,-1.194147617E-1,-1.456015170E-2,-2.209288573E-1,2.515580317E-1
1.813129167E-2,-4.637309790E-1,6.488128960E-2,-5.247332988E-1,7.032787765E-1
2.808029167E-2,-3.988493970E-1,5.736586332E-2,-4.575470368E-1,6.096892443E-1
3.805929166E-2,-2.551189891E-1,6.170683622E-2,-4.900078545E-1,5.558787005E-1
4.800829166E-2,-8.764771610E-2,4.293844342E-2,-4.169007019E-1,4.281728942E-1
5.798729166E-2,-2.123504072E-2,1.765040517E-2,-3.373077446E-1,3.384360772E-1
6.793629166E-2,-4.218298316E-2,-1.334334612E-3,-2.620663583E-1,2.654429518E-1
7.791529167E-2,-1.167952091E-2,-1.648914814E-4,-1.542722800E-1,1.547138480E-1
8.786429167E-2,7.600649446E-2,2.187443376E-2,-4.450663012E-2,9.075416341E-2
9.784329166E-2,1.292252201E-1,1.003440678E-2,-1.898240089E-2,1.309968640E-1
1.077922917E-1,1.532166383E-1,-6.772245169E-3,-1.830416042E-2,1.544546660E-1
1.177712917E-1,1.312252602E-1,1.413856745E-3,5.429687910E-3,1.313451538E-1
1.277202917E-1,8.320704818E-2,2.591485977E-3,9.592825055E-2,1.270132195E-1
1.376992917E-1,5.134586245E-2,6.402701139E-3,9.440095782E-2,1.076519067E-1
1.476482917E-1,2.793828875E-2,-5.398734212E-3,4.559658766E-3,2.881813313E-2
1.576272917E-1,-3.569871336E-2,-2.052372694E-3,-7.293462317E-2,8.122850255E-2
1.675762917E-1,-1.145241505E-1,2.864667892E-2,-1.086617686E-1,1.604487246E-1
1.775552917E-1,-1.118279994E-1,3.564755023E-2,-1.327411874E-1,1.771904967E-1
1.875042917E-1,-9.904335469E-2,1.871810675E-2,-1.639769769E-1,1.924796160E-1
1.974832917E-1,-1.419209871E-1,-8.184932470E-3,-1.750515668E-1,2.255030171E-1
2.074322917E-1,-1.163987678E-1,-1.182950199E-2,-1.976365103E-1,2.296710702E-1
2.174112917E-1,-6.576275736E-2,1.980802774E-2,-2.523371397E-1,2.615169789E-1
2.273602917E-1,-4.190056264E-2,1.838832378E-2,-2.269269677E-1,2.314943547E-1
2.373392917E-1,-4.719901711E-2,5.518602133E-3,-1.345812331E-1,1.427245966E-1
2.472882917E-1,-1.101261672E-1,-3.172699213E-3,-7.612373114E-2,1.339128865E-1
2.572672917E-1,-1.949812531E-1,-2.506876767E-2,-7.566651542E-2,2.106455643E-1
2.672162917E-1,-1.762438506E-1,-1.049224377E-2,-6.477194667E-2,1.880621895E-1
2.771952917E-1,-9.021347433E-2,-2.718955278E-4,-4.695668656E-2,1.017028775E-1
2.871442917E-1,-8.509335995E-2,-8.224108815E-3,-8.952441651E-2,1.237866593E-1
2.971232917E-1,-9.214393258E-2,-1.069338799E-2,-1.599646723E-1,1.849149784E-1
3.070722917E-1,-6.711083293E-2,-2.392914534E-2,-2.494328825E-1,2.594093883E-1
