"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.294124999E-2,-3.484355807E-3,1.019988298E-1,-5.395576715E-2,1.154431758E-1
3.292025000E-2,1.079319996E-1,1.939755321E-1,-2.322397113E-1,3.212648550E-1
4.286925000E-2,1.260191917E-1,2.417695034E-1,-1.896544397E-1,3.321176538E-1
5.284824999E-2,5.197531521E-2,2.556233114E-1,-2.111054619E-1,3.355744728E-1
6.279724999E-2,6.764877677E-2,2.429927409E-1,-1.137037861E-1,2.766773935E-1
7.277625000E-2,7.795157075E-2,2.211440349E-1,-7.483259283E-2,2.461321769E-1
8.272424999E-2,3.706959307E-2,1.907765204E-1,-1.049809098E-1,2.208864570E-1
9.270425000E-2,4.990013838E-2,1.742552125E-1,-7.582435369E-2,1.964796059E-1
1.026522500E-1,5.943402350E-2,1.612808257E-1,-1.079874750E-1,2.029906467E-1
1.126322500E-1,1.356144726E-1,1.388362885E-1,-1.733978646E-1,2.602568339E-1
1.225802500E-1,1.493127447E-1,1.172758502E-1,-1.309635242E-1,2.306498763E-1
1.325602500E-1,8.571024120E-2,1.132728463E-1,5.865692854E-2,1.536802474E-1
1.425082500E-1,3.070279384E-1,1.139558011E-1,-2.876596212E-1,4.358900518E-1
1.524882500E-1,4.932810527E-1,1.200667262E-1,-3.010180970E-1,5.902153085E-1
1.624362500E-1,3.371025074E-1,1.843393207E-2,-1.294363777E-1,3.615683700E-1
1.724162500E-1,2.520231807E-1,2.083947659E-2,-8.590846181E-2,2.670772009E-1
1.823642500E-1,1.950613600E-1,1.306092560E-2,-1.700136423E-2,1.962360016E-1
1.923442500E-1,6.317741096E-2,1.507704556E-2,-3.050602041E-2,7.175876142E-2
2.022922500E-1,-6.940820396E-2,-6.830132604E-3,6.375467733E-2,9.449237202E-2
2.122722500E-1,-1.547214192E-1,-1.678969502E-2,5.761385836E-2,1.659517041E-1
2.222202500E-1,-1.844217664E-1,-3.586974442E-2,1.048172609E-1,2.151387568E-1
2.322002500E-1,-1.123881626E-1,-5.282023787E-2,6.244131960E-2,1.389963849E-1
2.421482500E-1,-6.272659063E-2,-8.471212149E-2,-4.503291607E-2,1.146243091E-1
2.521282500E-1,5.672033072E-2,-8.589033544E-2,-5.234069310E-2,1.154724807E-1
2.620762500E-1,4.313023210E-2,-7.100566328E-2,-1.996012844E-2,8.544254131E-2
2.720562500E-1,-1.485520220E-1,-9.045876503E-2,6.357092857E-2,1.851803293E-1
2.820042500E-1,-2.007495314E-1,-9.153114438E-2,1.164567284E-1,2.494804488E-1
2.919842500E-1,-2.011143976E-1,-8.519217789E-2,7.033374511E-2,2.294592422E-1
3.019322500E-1,-1.937416434E-1,-5.965095520E-2,-2.270123005E-2,2.039838393E-1
3.119122500E-1,-5.321901798E-2,-4.172631562E-2,3.595452905E-2,7.659032216E-2
3.218602500E-1,-4.327056527E-2,-4.869327307E-2,3.415943384E-2,7.355435800E-2
3.318392500E-1,-9.842267275E-2,-5.827042758E-2,-3.398862205E-2,1.193217988E-1
3.417882500E-1,-8.739950180E-2,-5.284830451E-2,6.479657806E-2,1.209554163E-1
3.517672500E-1,-6.156767249E-2,-4.041420043E-2,1.307450576E-1,1.500605077E-1
3.617162500E-1,-3.415358663E-2,-2.391511202E-2,9.587679505E-2,1.045502745E-1
3.716952500E-1,-5.685013890E-2,-3.675618231E-2,-3.764788270E-2,7.746172154E-2
3.816442500E-1,-1.082302076E-1,-5.271966577E-2,-1.034722551E-1,1.587439717E-1
3.916232500E-1,-1.357232308E-1,-3.702106118E-2,-2.534884930E-2,1.429472578E-1
4.015722500E-1,-1.451243842E-1,-3.655152977E-2,-6.345749259E-2,1.625544665E-1
4.115512500E-1,-1.129974425E-1,-3.690879464E-2,-1.292516056E-1,1.756036978E-1
4.215002500E-1,1.777319670E-2,-3.809694886E-2,-1.644798374E-1,1.697671374E-1
4.314792500E-1,3.244561493E-1,-1.713935852E-2,-2.158885574E-1,3.900941164E-1
4.414282500E-1,6.248755646E-1,2.736379981E-2,-1.680009576E-1,6.476438608E-1
4.514072500E-1,1.076322128E0,6.383346856E-2,-9.821100354E-2,1.082676977E0
4.613562500E-1,1.934843659E0,1.436444539E-1,8.873032808E-2,1.942196382E0
4.713352500E-1,2.524338307E0,1.645178443E-1,-2.891880103E-1,2.546169616E0
4.812842500E-1,3.161731591E0,2.139022583E-1,-9.226251411E-1,3.300536014E0
4.912632500E-1,4.606860999E0,4.351275694E-1,1.641594100E-1,4.630275648E0
5.012122500E-1,5.020705873E0,5.756443477E-1,1.202558252E0,5.194708868E0
5.111912500E-1,4.393942242E0,6.894644934E-1,1.358130295E0,4.650441658E0
5.211402500E-1,3.350909482E0,7.041801810E-1,1.964046993E0,3.947397203E0
5.311192500E-1,2.897844409E0,8.010697138E-1,2.600981855E0,3.975464944E0
