"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.820629166E-2,2.242167467E-1,7.506246150E-2,-5.869224572E-1,6.327602179E-1
7.815429167E-2,2.616373920E-1,-6.143669486E-2,-8.119496280E-1,8.552723489E-1
8.813429165E-2,1.270425276E-1,-6.183430552E-3,-8.034243876E-1,8.134302583E-1
9.808229166E-2,-9.188022316E-3,9.147267222E-2,-6.502554041E-1,6.567219808E-1
1.080622917E-1,-1.796170362E-1,-1.247795820E-3,-5.993553919E-1,6.256921946E-1
1.180102917E-1,-3.205028468E-1,-5.076552629E-2,-4.922876108E-1,5.896153875E-1
1.279902917E-1,-2.856645513E-1,-1.728670835E-2,-3.255425620E-1,4.334524493E-1
1.379382917E-1,-1.507548143E-1,1.110035419E-2,-1.849193645E-1,2.388417954E-1
1.479182917E-1,-2.936215885E-2,-3.541658521E-3,-4.847166816E-2,5.678188383E-2
1.578662917E-1,5.257370465E-2,-3.523824513E-2,8.618328094E-2,1.069265461E-1
1.678462917E-1,9.177314602E-2,9.485937953E-3,2.527844882E-1,2.690953192E-1
1.777942917E-1,4.452983625E-2,3.233861089E-2,3.704316366E-1,3.744973824E-1
1.877742917E-1,-2.207470089E-2,-1.975364864E-2,3.858659470E-1,3.870013283E-1
1.977222917E-1,-1.899292588E-2,-9.310521483E-3,3.342408800E-1,3.349095145E-1
2.077022917E-1,1.306041397E-2,1.248965263E-2,2.243225630E-1,2.250492793E-1
2.176502917E-1,2.022121393E-1,-2.036175907E-2,-5.786287209E-2,2.113112928E-1
2.276302917E-1,2.317470834E-1,-8.573772311E-3,-1.437350857E-1,2.728369386E-1
2.375782917E-1,2.364067295E-1,4.691981256E-2,-1.598874342E-1,2.892293246E-1
2.475582917E-1,2.235401507E-1,1.503377616E-2,-2.188577735E-1,3.132011150E-1
2.575062917E-1,1.979588015E-1,-2.157797992E-2,-2.368706878E-1,3.094527736E-1
2.674852917E-1,1.703945153E-1,4.807054460E-2,-1.563849521E-1,2.362230330E-1
2.774342917E-1,8.897232972E-2,2.563594759E-2,-8.202416559E-2,1.236981851E-1
2.874132917E-1,-6.133729219E-4,-4.354596913E-2,-5.018255889E-2,6.644484081E-2
2.973622917E-1,-1.303861848E-1,-2.385079265E-2,-8.720537424E-3,1.328362347E-1
3.073412917E-1,-2.666524027E-1,-2.827011824E-2,-8.981368924E-4,2.681482987E-1
3.172902917E-1,-3.158744102E-1,-3.632348835E-2,-1.517585894E-2,3.183179943E-1
3.272392917E-1,-2.561834747E-1,5.082399845E-3,-2.156453133E-3,2.562429585E-1
3.372182917E-1,-1.761907871E-1,1.037237585E-2,-1.677332054E-2,1.772910712E-1
3.471672917E-1,-1.300045078E-1,-2.936939478E-2,-7.847957432E-2,1.546698968E-1
3.571462917E-1,-9.438692451E-2,-4.821614027E-3,-8.097107291E-2,1.244526180E-1
3.670952917E-1,-3.634892374E-2,3.735376775E-2,-1.450460315E-2,5.410112508E-2
3.770742917E-1,-2.152140811E-2,-3.092007637E-3,6.365629335E-2,6.726704395E-2
3.870232917E-1,-4.310077675E-2,-7.403744459E-3,1.263279339E-1,1.336833545E-1
3.970022917E-1,-1.454828916E-1,1.281534255E-2,1.934048438E-1,2.423529211E-1
4.069512917E-1,-2.719587509E-1,-9.016991258E-3,1.907771051E-1,3.323232946E-1
4.169302917E-1,-4.177444551E-1,1.793165624E-2,1.953426111E-1,4.615091654E-1
4.268792917E-1,-5.300246635E-1,5.227995515E-3,2.589328355E-1,5.899149847E-1
4.368582917E-1,-6.184132218E-1,-4.187308073E-2,2.104056233E-1,6.545676391E-1
4.468072917E-1,-6.792730889E-1,-1.357489586E-2,1.464610577E-1,6.950158620E-1
4.567862917E-1,-6.742713806E-1,-4.328635275E-2,-1.039371818E-1,6.836070076E-1
4.667352917E-1,-6.876091719E-1,-3.511311471E-2,-3.873990870E-1,7.900109851E-1
4.767142917E-1,-6.645489228E-1,-5.022816718E-2,-5.823955429E-1,8.850608498E-1
4.866632917E-1,-7.723620046E-1,-6.609984934E-2,-5.813395357E-1,9.689519658E-1
4.966422917E-1,-8.594958966E-1,-4.883126736E-2,-4.179578054E-1,9.569777511E-1
5.065912917E-1,-8.003312836E-1,-6.188868463E-2,-3.399489319E-1,8.717371445E-1
5.165702917E-1,-7.479655936E-1,-1.291708410E-2,-2.347738945E-1,7.840523974E-1
5.265192917E-1,-7.086530086E-1,-3.089317918E-2,-3.403605759E-1,7.867584107E-1
5.364982917E-1,-6.569015687E-1,-1.902099252E-3,-4.264614111E-1,7.831938611E-1
5.464472917E-1,-6.078011467E-1,-8.100147843E-3,-5.980111170E-1,8.527046044E-1
5.564262917E-1,-5.691954170E-1,-1.062439084E-2,-6.677473497E-1,8.774866515E-1
5.663752917E-1,-5.231106234E-1,1.139856219E-2,-5.818920976E-1,7.825426920E-1
5.763542917E-1,-4.838054205E-1,3.979030252E-3,-4.360151768E-1,6.513008152E-1
5.863032917E-1,-4.313967169E-1,4.560711265E-2,-1.575333452E-1,4.615191122E-1
5.962822917E-1,-3.870350978E-1,4.589362621E-2,3.788995743E-2,3.915840149E-1
6.062312917E-1,-3.441986883E-1,7.880877256E-2,2.411426818E-1,4.275901690E-1
6.161792917E-1,-2.916485918E-1,7.730252981E-2,2.534230042E-1,3.940276656E-1
6.261592917E-1,-2.397136223E-1,7.806149840E-2,1.847509646E-1,3.125526151E-1
6.361072917E-1,-1.874254811E-1,9.997744739E-2,6.227635503E-2,2.213642820E-1
6.460872917E-1,-1.268708387E-1,8.138973355E-2,-1.125893068E-1,1.881405072E-1
6.560352917E-1,-7.000169635E-2,9.342330337E-2,-1.004551649E-2,1.171710865E-1
6.660152917E-1,-2.661378477E-3,9.611068368E-2,2.038093793E-1,2.253499713E-1
6.759632917E-1,6.050786465E-2,1.198199737E-1,4.240821791E-1,4.448187523E-1
6.859432917E-1,1.343696004E-1,1.269863212E-1,5.018992639E-1,5.348678214E-1
6.958912917E-1,1.990567990E-1,1.331498712E-1,4.310672629E-1,4.931242060E-1
7.058712917E-1,2.681673066E-1,1.450518787E-1,2.154769135E-1,3.733417363E-1
7.158192917E-1,3.476988316E-1,1.156479853E-1,-3.665736437E-2,3.682562917E-1
7.257982917E-1,4.155881482E-1,1.265138662E-1,-1.178003546E-1,4.501068659E-1
7.357472917E-1,4.763338483E-1,1.320652127E-1,-5.834233920E-2,4.977338486E-1
7.457262917E-1,5.286711062E-1,1.491987240E-1,9.380572041E-2,5.572727438E-1
7.556752917E-1,6.100956307E-1,1.450565565E-1,1.063748952E-1,6.360610831E-1
7.656542917E-1,6.795081469E-1,1.223179042E-1,-9.522775412E-3,6.904952387E-1
7.756032917E-1,7.398780173E-1,1.084605879E-1,-2.064593375E-1,7.757632613E-1
7.855822917E-1,8.066997054E-1,1.064684415E-1,-4.058084607E-1,9.092746838E-1
7.955312917E-1,8.618942052E-1,1.213390803E-1,-4.308649492E-1,9.711999783E-1
8.055102917E-1,9.026851125E-1,1.157631755E-1,-3.596259820E-1,9.785562693E-1
8.154592917E-1,9.389933981E-1,1.185622376E-1,-2.294166938E-1,9.738570867E-1
8.254382917E-1,9.752889660E-1,1.100141931E-1,-1.006691730E-1,9.866235210E-1
8.353872917E-1,1.018244074E0,7.229205072E-2,-1.179126120E-1,1.027594530E0
8.453662917E-1,1.116141813E0,1.021795088E-1,-1.221857754E-1,1.127449583E0
8.553152917E-1,1.177553657E0,1.270506406E-1,-1.411155514E-1,1.192764889E0
8.652942917E-1,1.164419788E0,1.046891338E-1,-2.258896351E-2,1.169334647E0
8.752791667E-1,1.113123992E0,1.121215296E-1,3.694317627E-1,1.178174896E0
8.852581667E-1,1.099771436E0,6.766924202E-2,6.116421827E-1,1.260231129E0
8.952071667E-1,1.106056682E0,1.234738988E-1,8.085319304E-1,1.375620249E0
9.051861667E-1,1.106604127E0,9.927636623E-2,6.490619874E-1,1.286743935E0
9.151351667E-1,1.109957067E0,1.129284453E-1,4.662651622E-1,1.209198381E0
9.251141667E-1,1.082516376E0,1.062398154E-1,2.965649307E-1,1.127421554E0
9.350631667E-1,1.025400481E0,8.209958553E-2,2.363362706E-1,1.055481559E0
9.450121667E-1,9.654328993E-1,1.176401317E-1,4.075181866E-1,1.054500335E0
9.549911667E-1,9.446016088E-1,7.579687178E-2,4.511103487E-1,1.049532235E0
9.649401667E-1,9.434178400E-1,1.032665062E-1,4.861679149E-1,1.066330359E0
9.749191667E-1,9.088476393E-1,7.104600906E-2,2.049846697E-1,9.343822995E-1
9.848681667E-1,8.818998688E-1,8.345263124E-2,-8.651423335E-2,8.900541741E-1
9.948471667E-1,9.165531000E-1,8.902736664E-2,-2.762540424E-1,9.614113340E-1
1.004796167E0,8.887108518E-1,6.557652354E-2,-3.272347462E-1,9.493101905E-1
1.014775167E0,8.422987968E-1,7.100741744E-2,-3.748568094E-1,9.246766700E-1
1.024724167E0,8.152334243E-1,4.460022211E-2,-4.885044622E-1,9.514364538E-1
1.034703167E0,7.688769910E-1,8.924546778E-2,-4.429686856E-1,8.918283676E-1
1.044652167E0,7.216574355E-1,5.691328883E-2,-4.629813659E-1,8.592905922E-1
1.054631167E0,6.747817694E-1,9.300230384E-2,-3.393022299E-1,7.609900578E-1
1.064580167E0,6.134539059E-1,8.285036802E-2,-2.838659477E-1,6.810064276E-1
1.074559167E0,5.434791798E-1,1.033384269E-1,-1.537735856E-1,5.741905302E-1
1.084508167E0,4.730045899E-1,1.148755682E-1,-6.606193380E-3,4.867991167E-1
1.094487167E0,3.949282542E-1,9.635217369E-2,6.324816227E-2,4.114029623E-1
1.104436167E0,3.246391672E-1,1.282358712E-1,1.525526869E-1,3.809295864E-1
1.114415167E0,2.519023992E-1,1.058848894E-1,1.443057648E-1,3.090155049E-1
1.124364167E0,1.723104286E-1,1.211098695E-1,2.241459954E-1,3.075709862E-1
1.134343167E0,1.005954981E-1,1.201649594E-1,3.352547872E-1,3.700741062E-1
1.144292167E0,3.384925732E-2,1.382679391E-1,5.111694396E-1,5.306203833E-1
1.154271167E0,-2.737459889E-2,1.428071326E-1,5.716916299E-1,5.898936900E-1
1.164219167E0,-8.274745703E-2,9.547392190E-2,4.432704020E-1,4.609241376E-1
1.174199167E0,-1.426779091E-1,9.386886120E-2,2.642239809E-1,3.146150997E-1
1.184147167E0,-2.035474241E-1,9.426939547E-2,3.508680681E-2,2.270448343E-1
1.194127167E0,-2.532306308E-1,1.008504367E-1,-7.406434178E-2,2.824572351E-1
