"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.316620834E-2,-1.886370242E-2,9.789993167E-3,-1.355934592E-1,1.372489323E-1
2.311070834E-2,3.460966945E-2,6.282891691E-2,1.626516324E-2,7.355173386E-2
3.308970833E-2,1.312968886E-1,8.375873297E-2,1.360167611E-1,2.067727197E-1
4.303870833E-2,4.777058244E-2,5.546873420E-2,1.943813288E-1,2.077087143E-1
5.301770834E-2,-1.434304458E-1,2.727726102E-2,1.919722760E-1,2.411839474E-1
6.296670834E-2,-2.847132093E-1,-1.059193879E-2,1.176822317E-1,3.082578602E-1
7.294570834E-2,-2.507993585E-1,-5.992226601E-3,2.284624328E-2,2.519090626E-1
8.289470834E-2,-6.105253279E-2,-2.916298807E-3,-1.118759465E-1,1.274838969E-1
9.287370834E-2,4.896107554E-2,-1.168712229E-2,-1.489870548E-1,1.572606698E-1
1.028227083E-1,-1.520743847E-2,9.905768037E-3,-1.952736368E-2,2.665911396E-2
1.128017083E-1,-5.869201183E-2,1.653504878E-2,7.719143271E-2,9.837010408E-2
1.227507083E-1,-5.039130449E-3,3.036312908E-2,1.199895430E-1,1.238741412E-1
1.327297083E-1,5.371018410E-2,7.108430833E-2,1.106585654E-1,1.420671702E-1
1.426787083E-1,5.324474573E-3,7.182602763E-2,1.519276196E-1,1.681348562E-1
1.526577083E-1,3.619134128E-2,2.202780622E-1,1.782289803E-1,2.856532991E-1
1.626067083E-1,-4.711627901E-2,1.256280130E-1,-3.625273705E-5,1.341728092E-1
1.725857083E-1,1.763461769E-2,7.591966331E-2,-6.160743356E-2,9.934913632E-2
1.825347083E-1,-3.513124108E-2,3.869482666E-2,-4.230109692E-2,6.723746360E-2
1.925137083E-1,-9.007869601E-2,2.387125790E-2,-1.613833804E-3,9.320200045E-2
2.024627083E-1,-6.501051307E-2,-8.053662479E-3,2.130727668E-3,6.554211081E-2
2.124417083E-1,3.668075323E-2,-2.253721565E-2,1.230253716E-2,4.477450354E-2
2.223907083E-1,9.527219296E-2,-1.088225305E-2,1.628262448E-1,1.889645474E-1
2.323697083E-1,4.615090370E-2,7.978233397E-3,2.372238779E-1,2.418030735E-1
2.423187083E-1,6.222256064E-2,9.965994358E-3,1.732249331E-1,1.843308047E-1
2.522977083E-1,3.972598314E-3,-5.985502303E-3,1.010235143E-1,1.012786168E-1
2.622467083E-1,-9.157441378E-2,1.370294988E-3,3.610421777E-2,9.844422536E-2
2.722257083E-1,-9.106336713E-2,2.103535831E-2,2.514185786E-2,9.678396638E-2
2.821747083E-1,-3.982889414E-2,2.948809326E-2,-9.905182173E-3,5.053712582E-2
2.921537083E-1,-1.522907317E-2,2.481295198E-2,-6.778092384E-3,2.989230322E-2
3.021027083E-1,-3.049556851E-2,1.248322070E-2,2.178906898E-2,3.950410137E-2
3.120817083E-1,2.651946187E-2,1.598453343E-2,3.604925394E-2,4.752195152E-2
3.220307083E-1,9.000735998E-2,1.372458458E-2,4.479561048E-3,9.115786055E-2
3.320097083E-1,6.926260829E-2,2.558624625E-2,-5.823592901E-2,9.403929143E-2
3.419587083E-1,-1.436660886E-2,9.701992571E-3,-1.317196331E-1,1.328555225E-1
3.519377083E-1,-5.062987089E-2,7.966538966E-3,-1.871307814E-1,1.940226248E-1
3.618867083E-1,-5.629172981E-2,2.939980030E-3,-1.810555243E-1,1.896272797E-1
3.718657083E-1,-7.767207384E-2,2.060588032E-2,-7.316153169E-2,1.086745742E-1
3.818147083E-1,-7.702303290E-2,2.975648046E-2,1.138768637E-1,1.406624890E-1
3.917937083E-1,-1.058462977E-1,3.890649587E-2,1.761228132E-1,2.091324927E-1
4.017427083E-1,-1.151328456E-1,3.010848284E-2,1.820448732E-1,2.174912154E-1
4.117217083E-1,-1.555219030E-1,2.957433969E-2,1.798585993E-1,2.396055501E-1
4.217007083E-1,-9.031667769E-2,1.549804509E-2,1.862548685E-1,2.075768959E-1
4.316497083E-1,-3.182054758E-2,6.489239931E-3,6.136828244E-2,6.943143073E-2
4.416287083E-1,-3.897987843E-2,-1.073490322E-2,-2.742812375E-2,4.885663764E-2
4.515777083E-1,-9.378933907E-2,-1.882949620E-2,-9.633638620E-2,1.357633579E-1
4.615567083E-1,-1.534180748E-1,-2.193933785E-2,-1.419259572E-1,2.101461814E-1
4.715057083E-1,-1.905549109E-1,-1.334451556E-2,-1.386772442E-1,2.360521727E-1
