"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.181445832E-2,2.884913877E-1,6.996544361E-2,8.736909628E-3,2.969827902E-1
3.176345833E-2,3.772149915E-1,2.193173647E-2,-5.064894743E-3,3.778859669E-1
4.174245833E-2,3.763773778E-1,7.501860738E-2,1.778255224E-2,3.841925834E-1
5.169145833E-2,2.988523614E-1,2.885951757E-2,6.195008039E-2,3.065671511E-1
6.167045832E-2,1.847802007E-1,4.147313118E-2,-3.282396633E-2,1.922008219E-1
7.161945832E-2,9.275438190E-2,4.022592008E-2,-6.641618371E-2,1.209653234E-1
8.159845833E-2,5.830375671E-2,6.866502285E-2,8.210075498E-3,9.045230096E-2
9.154745833E-2,5.982432514E-2,1.645114124E-2,1.005212019E-1,1.181274818E-1
1.015264583E-1,4.756505281E-2,-2.766317725E-3,6.344342273E-2,7.934201062E-2
1.114754583E-1,4.987967312E-3,-1.401460648E-2,7.456077039E-2,7.603024066E-2
1.214544583E-1,-9.460502565E-3,2.823094189E-2,6.738978166E-2,7.367407862E-2
1.314034583E-1,-3.539465815E-2,3.552534342E-2,7.480050623E-2,9.005524739E-2
1.413824583E-1,-2.540819854E-2,6.460003853E-3,8.333449921E-2,8.736101511E-2
1.513314583E-1,1.464552104E-2,-2.150898278E-2,6.563444752E-3,2.683666212E-2
1.613104583E-1,5.558977157E-2,-2.213580430E-2,-7.879768113E-2,9.894084640E-2
1.712594583E-1,8.871337116E-2,1.731711388E-2,-1.831453192E-1,2.042355322E-1
1.812384583E-1,-1.696423441E-2,-1.216805577E-3,-2.183923717E-1,2.190536325E-1
1.911874583E-1,-1.585174316E-1,-5.181627095E-2,-2.442569089E-1,2.957602739E-1
2.011664583E-1,-1.380931073E-1,-5.162331283E-2,-1.143820997E-1,1.865956523E-1
2.111237083E-1,-8.503488779E-2,-1.807608247E-2,-8.522199869E-2,1.217393361E-1
2.211027083E-1,-7.675523043E-2,-1.219963074E-2,-3.827474076E-2,8.663228133E-2
2.310517083E-1,-8.582426190E-2,9.832093120E-3,-1.357025463E-2,8.744498726E-2
2.410307083E-1,2.889401615E-2,-1.044663548E-2,-1.502500900E-1,1.533593358E-1
2.509797083E-1,1.408164480E-1,-3.648604095E-2,-2.163599161E-1,2.607146266E-1
2.609587083E-1,1.588390285E-1,3.613579273E-4,-2.083023433E-1,2.619538772E-1
2.709077083E-1,2.452307627E-1,1.832283497E-2,-2.019487953E-1,3.182093166E-1
2.808867083E-1,2.332454324E-2,-1.582490444E-2,-2.416759844E-1,2.433140838E-1
2.908357083E-1,-2.471167821E-1,-3.805251002E-2,-2.613343235E-1,3.616771020E-1
3.008147083E-1,-1.309068793E-1,1.237031096E-1,-2.792068863E-1,3.322582666E-1
3.107637083E-1,1.268898422E-1,8.294450819E-2,-1.563545465E-2,1.523984610E-1
3.207427083E-1,3.174371517E-1,5.519420743E-2,3.021162589E-1,4.416865175E-1
3.306917083E-1,3.975331888E-1,9.312977314E-2,5.992179823E-1,7.250986010E-1
3.406707083E-1,5.636207181E-1,1.030963522E-1,5.707221615E-1,8.087156221E-1
3.506197083E-1,8.191028193E-1,4.743144393E-2,-5.994752598E-1,1.016144555E0
3.605987083E-1,1.253002766E0,3.274440765E-2,-1.376313527E0,1.861538894E0
3.705477083E-1,1.706974449E0,6.905210853E-2,-1.419413939E0,2.221095652E0
3.805267083E-1,1.877079747E0,1.552348047E-1,-5.933871388E-1,1.974749229E0
3.904757083E-1,1.727103343E0,2.421805626E-1,8.301894325E-1,1.931515435E0
4.004547083E-1,1.543928642E0,2.709272289E-1,1.698536625E0,2.311307829E0
4.104037083E-1,1.357059377E0,2.784660441E-1,1.712690980E0,2.202830879E0
4.203827083E-1,1.232387822E0,2.654203212E-1,1.177867799E0,1.725282656E0
4.303317083E-1,1.144539547E0,2.636170399E-1,6.010657024E-1,1.319372842E0
4.403107083E-1,1.046531295E0,2.584019083E-1,4.281413162E-1,1.159872530E0
4.502587083E-1,9.301725809E-1,2.759073025E-1,7.213148618E-1,1.208983457E0
4.602387083E-1,8.396524201E-1,3.201391500E-1,1.162777305E0,1.469542896E0
4.701867083E-1,7.920552076E-1,3.622736013E-1,1.338379716E0,1.596826189E0
4.801667083E-1,7.457416052E-1,3.682342529E-1,9.567459834E-1,1.267710489E0
4.901147083E-1,7.079454955E-1,3.197175658E-1,3.396998405E-2,7.775346335E-1
5.000947083E-1,6.542886673E-1,2.738216007E-1,-1.081433764E0,1.293279133E0
5.100427083E-1,5.840241386E-1,2.537001622E-1,-1.854720433E0,1.960978289E0
5.200227083E-1,4.893194179E-1,2.700706118E-1,-1.929396978E0,2.008717085E0
5.299707083E-1,3.564733826E-1,3.154315567E-1,-1.276572892E0,1.362427498E0
5.399507083E-1,2.053960944E-1,3.513515872E-1,-2.146852187E-1,4.601361065E-1
5.498987083E-1,4.933442026E-2,3.975662255E-1,7.495224148E-1,8.498686010E-1
5.598787083E-1,-9.451351672E-2,4.520798171E-1,1.257892792E0,1.340001210E0
5.698267083E-1,-2.246090949E-1,4.458975559E-1,1.232036405E0,1.329356077E0
5.798067083E-1,-3.045908006E-1,4.810176873E-1,7.910885167E-1,9.746664109E-1
5.897547083E-1,-3.580378783E-1,3.564673162E-1,2.481464585E-1,5.628825229E-1
5.997347083E-1,-4.127534911E-1,3.478005731E-1,-5.020306069E-2,5.420802804E-1
6.096827083E-1,-4.921031311E-1,3.308886713E-1,-3.749939997E-2,5.941876887E-1
6.196627083E-1,-5.901544691E-1,3.297279990E-1,1.363699694E-1,6.896373100E-1
6.296107083E-1,-6.823337408E-1,3.426351428E-1,2.202523710E-1,7.946629989E-1
6.395907083E-1,-7.597637399E-1,2.875637269E-1,9.826867171E-3,8.124225531E-1
6.495387083E-1,-8.529437260E-1,2.204248273E-1,-4.450503675E-1,9.870004731E-1
6.595187083E-1,-9.761008519E-1,1.764245296E-1,-9.381828278E-1,1.365315167E0
